,Feature_A,Feature_B,Correlation
0,ames_order,ames_order,1.0
1,ames_order,pid,0.17359341568669462
2,ames_order,mssubclass,0.011797142632671452
3,ames_order,lotfrontage,-0.007033889261364624
4,ames_order,lotarea,0.03135406362457019
5,ames_order,overallqual,-0.04850048385466136
6,ames_order,overallcond,-0.011054421579957634
7,ames_order,yearbuilt,-0.05231935740510978
8,ames_order,yearremodadd,-0.07556617674219761
9,ames_order,masvnrarea,-0.030906548979033728
10,ames_order,bsmtfinsf1,-0.03232148429611221
11,ames_order,bsmtfinsf2,-0.002772587808266854
12,ames_order,bsmtunfsf,0.005780015641578209
13,ames_order,totalbsmtsf,-0.02871922563559063
14,ames_order,1stflrsf,-0.013201334615269414
15,ames_order,2ndflrsf,-0.00041656193344833726
16,ames_order,lowqualfinsf,0.013588540809676352
17,ames_order,grlivarea,-0.009342355629645447
18,ames_order,bsmtfullbath,-0.042539482856390504
19,ames_order,bsmthalfbath,0.02497827751853664
20,ames_order,fullbath,-0.04498465053335424
21,ames_order,halfbath,-0.03974862068130734
22,ames_order,bedroomabvgr,0.015423661408543832
23,ames_order,kitchenabvgr,-0.017685208761434423
24,ames_order,totrmsabvgrd,0.002612167831104346
25,ames_order,fireplaces,-0.019155567368453166
26,ames_order,garageyrblt,-0.05115954145163522
27,ames_order,garagecars,-0.03618515899591096
28,ames_order,garagearea,-0.03543503237377296
29,ames_order,wooddecksf,-0.011291843111299733
30,ames_order,openporchsf,0.016354643252857487
31,ames_order,enclosedporch,0.027908198767567734
32,ames_order,3ssnporch,-0.024975265075870147
33,ames_order,screenporch,0.004306944176847399
34,ames_order,poolarea,0.0525178345251896
35,ames_order,miscval,-0.006083365143558963
36,ames_order,mosold,0.13336528025783773
37,ames_order,yrsold,-0.9759929037175192
38,ames_order,saleprice,-0.031407925252804544
39,pid,ames_order,0.17359341568669462
40,pid,pid,1.0
41,pid,mssubclass,-0.0012813655030208678
42,pid,lotfrontage,-0.09691787910621243
43,pid,lotarea,0.0348679288054725
44,pid,overallqual,-0.2631469441817053
45,pid,overallcond,0.10445061899010206
46,pid,yearbuilt,-0.34338848480000705
47,pid,yearremodadd,-0.15711088477067364
48,pid,masvnrarea,-0.22928319488899598
49,pid,bsmtfinsf1,-0.09837500160950957
50,pid,bsmtfinsf2,-0.001144918461151877
51,pid,bsmtunfsf,-0.08770661221230788
52,pid,totalbsmtsf,-0.18964166941757224
53,pid,1stflrsf,-0.1419016214578436
54,pid,2ndflrsf,-0.0032893551273077163
55,pid,lowqualfinsf,0.0569404140116161
56,pid,grlivarea,-0.10757903456693839
