pid,neighborhood,total_area,overallqual,garagecars,fullbath,yearbuilt,yearremodadd,yrsold,saleprice,y_test_pred
526301100,15,4920,6,2,1,1960,1960,4,215000,205493.8337604387
526301100,15,4920,6,2,1,1960,1960,4,215000,217215.09239198934
526301100,15,4920,6,2,1,1960,1960,4,215000,225972.92564931937
909426080,6,5870,5,2,2,1950,1991,4,215000,205493.8337604387
909426080,6,5870,5,2,2,1950,1991,4,215000,217215.09239198934
909426080,6,5870,5,2,2,1950,1991,4,215000,225972.92564931937
527326150,17,5335,6,2,2,1977,2000,3,215000,205493.8337604387
527326150,17,5335,6,2,2,1977,2000,3,215000,217215.09239198934
527326150,17,5335,6,2,2,1977,2000,3,215000,225972.92564931937
914474070,14,5286,6,2,2,2001,2002,3,215000,205493.8337604387
914474070,14,5286,6,2,2,2001,2002,3,215000,217215.09239198934
914474070,14,5286,6,2,2,2001,2002,3,215000,225972.92564931937
527301170,17,5519,7,2,2,1986,1991,2,215000,205493.8337604387
527301170,17,5519,7,2,2,1986,1991,2,215000,217215.09239198934
527301170,17,5519,7,2,2,1986,1991,2,215000,225972.92564931937
534129060,17,5438,7,2,2,1967,1967,2,215000,205493.8337604387
534129060,17,5438,7,2,2,1967,1967,2,215000,217215.09239198934
534129060,17,5438,7,2,2,1967,1967,2,215000,225972.92564931937
528235160,8,5199,7,2,2,2004,2005,1,215000,205493.8337604387
528235160,8,5199,7,2,2,2004,2005,1,215000,217215.09239198934
528235160,8,5199,7,2,2,2004,2005,1,215000,225972.92564931937
528431030,24,5076,8,2,2,2006,2006,1,215000,205493.8337604387
528431030,24,5076,8,2,2,2006,2006,1,215000,217215.09239198934
528431030,24,5076,8,2,2,2006,2006,1,215000,225972.92564931937
531385130,23,4984,7,2,2,1998,1998,1,215000,205493.8337604387
531385130,23,4984,7,2,2,1998,1998,1,215000,217215.09239198934
531385130,23,4984,7,2,2,1998,1998,1,215000,225972.92564931937
909428340,6,5016,6,2,2,1968,1968,1,215000,205493.8337604387
909428340,6,5016,6,2,2,1968,1968,1,215000,217215.09239198934
909428340,6,5016,6,2,2,1968,1968,1,215000,225972.92564931937
914460020,14,4875,5,3,2,2002,2002,1,215000,205493.8337604387
914460020,14,4875,5,3,2,2002,2002,1,215000,217215.09239198934
914460020,14,4875,5,3,2,2002,2002,1,215000,225972.92564931937
528228340,0,4585,8,2,2,2003,2003,0,215000,205493.8337604387
528228340,0,4585,8,2,2,2003,2003,0,215000,217215.09239198934
528228340,0,4585,8,2,2,2003,2003,0,215000,225972.92564931937
528275080,8,5191,6,2,2,2000,2000,0,215000,205493.8337604387
528275080,8,5191,6,2,2,2000,2000,0,215000,217215.09239198934
528275080,8,5191,6,2,2,2000,2000,0,215000,225972.92564931937
906223180,23,5070,8,2,2,1993,1994,0,215000,205493.8337604387
906223180,23,5070,8,2,2,1993,1994,0,215000,217215.09239198934
906223180,23,5070,8,2,2,1993,1994,0,215000,225972.92564931937
923202025,14,4808,7,4,2,1997,1997,0,215000,205493.8337604387
923202025,14,4808,7,4,2,1997,1997,0,215000,217215.09239198934
923202025,14,4808,7,4,2,1997,1997,0,215000,225972.92564931937
526350040,15,3404,5,1,1,1961,1961,4,105000,113512.96689913972
526350040,15,3404,5,1,1,1961,1961,4,105000,106102.61150442701
535325400,15,3222,4,2,1,1920,1994,4,105000,113512.96689913972
535325400,15,3222,4,2,1,1920,1994,4,105000,106102.61150442701
535383070,20,3926,4,1,1,1920,1950,3,105000,113512.96689913972
535383070,20,3926,4,1,1,1920,1950,3,105000,106102.61150442701
903231130,3,2645,5,1,1,1931,1993,3,105000,113512.96689913972
903231130,3,2645,5,1,1,1931,1993,3,105000,106102.61150442701
905480030,7,3356,6,1,1,1939,1950,3,105000,113512.96689913972
905480030,7,3356,6,1,1,1939,1950,3,105000,106102.61150442701
909250080,21,3247,6,1,1,1935,1950,3,105000,113512.96689913972
909250080,21,3247,6,1,1,1935,1950,3,105000,106102.61150442701
903228060,3,3663,6,1,2,1939,1950,2,105000,113512.96689913972
903228060,3,3663,6,1,2,1939,1950,2,105000,106102.61150442701
923225310,13,2799,4,1,1,1973,2006,2,105000,113512.96689913972
923225310,13,2799,4,1,1,1973,2006,2,105000,106102.61150442701
534479120,15,3760,5,1,1,1941,1950,1,105000,113512.96689913972
534479120,15,3760,5,1,1,1941,1950,1,105000,106102.61150442701
535381060,20,4036,3,3,1,1915,1950,0,105000,113512.96689913972
535381060,20,4036,3,3,1,1915,1950,0,105000,106102.61150442701
535478090,15,2928,5,1,1,1962,1962,0,105000,113512.96689913972
535478090,15,2928,5,1,1,1962,1962,0,105000,106102.61150442701
902108060,20,2710,7,1,1,1930,1950,0,105000,113512.96689913972
902108060,20,2710,7,1,1,1930,1950,0,105000,106102.61150442701
902128020,20,2832,4,1,1,1950,1950,0,105000,113512.96689913972
902128020,20,2832,4,1,1,1950,1950,0,105000,106102.61150442701
905200380,22,2938,5,1,1,1924,1950,0,105000,113512.96689913972
905200380,22,2938,5,1,1,1924,1950,0,105000,106102.61150442701
526351010,15,4299,6,1,1,1958,1958,4,172000,153735.47416037633
526351010,15,4299,6,1,1,1958,1958,4,172000,168012.47085892534
924100020,14,5250,5,2,2,1969,1969,2,172000,153735.47416037633
924100020,14,5250,5,2,2,1969,1969,2,172000,168012.47085892534
535402140,15,4303,7,1,2,1963,1999,1,172000,153735.47416037633
535402140,15,4303,7,1,2,1963,1999,1,172000,168012.47085892534
527358090,17,3809,7,2,1,1976,1976,0,172000,153735.47416037633
527358090,17,3809,7,2,1,1976,1976,0,172000,168012.47085892534
531452080,23,4736,6,2,2,1990,1991,0,172000,153735.47416037633
531452080,23,4736,6,2,2,1990,1991,0,172000,168012.47085892534
535103070,15,4179,6,2,1,1964,1964,0,172000,153735.47416037633
535103070,15,4179,6,2,1,1964,1964,0,172000,168012.47085892534
527127150,25,4596,8,2,2,2001,2001,4,213500,224066.32309120716
916403250,26,5181,7,2,2,1987,1989,3,213500,224066.32309120716
907410050,5,5172,7,2,2,2006,2006,1,213500,224066.32309120716
527162130,8,5044,7,2,2,1999,1999,4,189000,196260.86961695997
527162130,8,5044,7,2,2,1999,1999,4,189000,187254.64018191895
527162130,8,5044,7,2,2,1999,1999,4,189000,195289.6657701148
527162130,8,5044,7,2,2,1999,1999,4,189000,209088.8978649939
531451280,23,5207,6,2,2,1992,1992,4,189000,196260.86961695997
531451280,23,5207,6,2,2,1992,1992,4,189000,187254.64018191895
531451280,23,5207,6,2,2,1992,1992,4,189000,195289.6657701148
531451280,23,5207,6,2,2,1992,1992,4,189000,209088.8978649939
527107130,8,4030,7,2,2,1996,1997,3,189000,196260.86961695997
527107130,8,4030,7,2,2,1996,1997,3,189000,187254.64018191895
527107130,8,4030,7,2,2,1996,1997,3,189000,195289.6657701148
527107130,8,4030,7,2,2,1996,1997,3,189000,209088.8978649939
531385020,23,4849,7,2,2,2001,2001,3,189000,196260.86961695997
531385020,23,4849,7,2,2,2001,2001,3,189000,187254.64018191895
531385020,23,4849,7,2,2,2001,2001,3,189000,195289.6657701148
531385020,23,4849,7,2,2,2001,2001,3,189000,209088.8978649939
527183030,25,4156,8,2,2,1988,1989,2,189000,196260.86961695997
527183030,25,4156,8,2,2,1988,1989,2,189000,187254.64018191895
527183030,25,4156,8,2,2,1988,1989,2,189000,195289.6657701148
527183030,25,4156,8,2,2,1988,1989,2,189000,209088.8978649939
531384030,23,4629,7,2,2,1994,1995,2,189000,196260.86961695997
531384030,23,4629,7,2,2,1994,1995,2,189000,187254.64018191895
531384030,23,4629,7,2,2,1994,1995,2,189000,195289.6657701148
531384030,23,4629,7,2,2,1994,1995,2,189000,209088.8978649939
907420080,5,4050,7,2,2,2005,2005,2,189000,196260.86961695997
907420080,5,4050,7,2,2,2005,2005,2,189000,187254.64018191895
907420080,5,4050,7,2,2,2005,2005,2,189000,195289.6657701148
907420080,5,4050,7,2,2,2005,2005,2,189000,209088.8978649939
909250040,21,6435,5,2,3,1921,1998,2,189000,196260.86961695997
909250040,21,6435,5,2,3,1921,1998,2,189000,187254.64018191895
909250040,21,6435,5,2,3,1921,1998,2,189000,195289.6657701148
909250040,21,6435,5,2,3,1921,1998,2,189000,209088.8978649939
527163010,8,4513,6,2,2,1993,1994,4,175900,175634.30842430872
528228295,0,5184,7,3,2,2007,2007,3,175900,175634.30842430872
906392080,5,4334,7,2,2,2005,2006,1,175900,175634.30842430872
531450040,23,4451,6,2,2,1992,1992,0,175900,175634.30842430872
527165230,8,3962,6,2,2,1992,2007,4,185000,179720.6862789995
527165230,8,3962,6,2,2,1992,2007,4,185000,206163.67682956604
527165230,8,3962,6,2,2,1992,2007,4,185000,164113.88525373559
909455030,1,3648,8,2,1,1989,1989,4,185000,179720.6862789995
909455030,1,3648,8,2,1,1989,1989,4,185000,206163.67682956604
909455030,1,3648,8,2,1,1989,1989,4,185000,164113.88525373559
527162110,8,4695,7,2,2,1998,1998,3,185000,179720.6862789995
527162110,8,4695,7,2,2,1998,1998,3,185000,206163.67682956604
527162110,8,4695,7,2,2,1998,1998,3,185000,164113.88525373559
527163070,8,4040,6,2,2,1993,1993,3,185000,179720.6862789995
527163070,8,4040,6,2,2,1993,1993,3,185000,206163.67682956604
527163070,8,4040,6,2,2,1993,1993,3,185000,164113.88525373559
527276160,8,5557,5,2,2,1977,1977,3,185000,179720.6862789995
